crop_filename,source_image,x1,y1,x2,y2,confidence,bg_level,category,,suggested_category,suggested_from,suggested_notes,Notes
crop_0001_trinity-2_20250509T160658_Davenport_DSC01555_conf0.54.jpg,trinity-2_20250509T160658_Davenport_DSC01555.JPG,1063,4728,1124,4758,0.535,0bg,Od,,,,,
crop_0002_trinity-2_20240809T233952_NewBrighton_DSC01358_conf0.60.jpg,trinity-2_20240809T233952_NewBrighton_DSC01358.JPG,3217,2872,3339,2908,0.598,0bg,W,,,,,
crop_0003_trinity-2_20231109T191204_DSC05552_conf0.74.jpg,trinity-2_20231109T191204_DSC05552.JPG,836,1875,1122,2162,0.740,0bg,G,,,,,
crop_0004_trinity-2_20240703T153256_Seymour_DSC01266_conf0.88.jpg,trinity-2_20240703T153256_Seymour_DSC01266.JPG,7138,1732,7260,1842,0.881,0bg,Kf,,Kf,/mnt/user-data/uploads/10bg (dist=3px),,
crop_0005_trinity-2_20241218T210331_Davenport_DSC02266_conf0.76.jpg,trinity-2_20241218T210331_Davenport_DSC02266.JPG,6457,3888,6545,4000,0.764,0bg,W,,,,,
crop_0006_trinity-2_20240809T233952_NewBrighton_DSC01709_conf0.70.jpg,trinity-2_20240809T233952_NewBrighton_DSC01709.JPG,3344,346,3687,471,0.704,0bg,G,,,,,
crop_0007_trinity-2_20250520T160528_Seacliff_DSC01770_conf0.71.jpg,trinity-2_20250520T160528_Seacliff_DSC01770.JPG,3470,2999,3489,3052,0.714,0bg,B,,B,/mnt/user-data/outputs/5bg_manifest_final (dist=2px),,
crop_0008_trinity-2_20240809T233952_NewBrighton_DSC01387_conf0.86.jpg,trinity-2_20240809T233952_NewBrighton_DSC01387.JPG,6930,4498,7080,4555,0.857,0bg,W,,,,,
crop_0009_trinity-2_20240820T160209_Seymour_DSC01345_conf0.51.jpg,trinity-2_20240820T160209_Seymour_DSC01345.JPG,5297,1217,5517,1481,0.506,0bg,Kf,,Kf,/mnt/user-data/uploads/20bg (dist=41px),,
crop_0010_trinity-2_20250520T160528_Seacliff_DSC01501_conf0.59.jpg,trinity-2_20250520T160528_Seacliff_DSC01501.JPG,143,837,431,1124,0.586,0bg,W,,,,,
crop_0011_trinity-2_20250521T004432_Seacliff_DSC01922_conf0.61.jpg,trinity-2_20250521T004432_Seacliff_DSC01922.JPG,347,3598,453,3660,0.606,0bg,F,,,,,
crop_0012_trinity-2_20231109T191204_DSC05552_conf0.51.jpg,trinity-2_20231109T191204_DSC05552.JPG,2911,3259,3200,3546,0.509,0bg,G,,,,,
crop_0013_trinity-2_20240809T233952_NewBrighton_DSC01612_conf0.69.jpg,trinity-2_20240809T233952_NewBrighton_DSC01612.JPG,6723,2405,6823,2538,0.693,0bg,W,,,,,
crop_0014_trinity-2_20240820T233850_NewBrighton_DSC01605_conf0.60.jpg,trinity-2_20240820T233850_NewBrighton_DSC01605.JPG,6417,4699,6458,4806,0.605,0bg,W,,,,,
crop_0015_trinity-2_20240820T233850_NewBrighton_DSC01641_conf0.52.jpg,trinity-2_20240820T233850_NewBrighton_DSC01641.JPG,7810,166,7834,207,0.522,0bg,Kf,,,,,
crop_0016_trinity-2_20230901T183423_DSC04593_conf0.51.jpg,trinity-2_20230901T183423_DSC04593.JPG,5483,1914,5575,1945,0.513,0bg,B,,B,/mnt/user-data/uploads/10bg (dist=11px),,
crop_0017_trinity-1_20230607T194614_DSC00188_conf0.68.jpg,trinity-1_20230607T194614_DSC00188.JPG,5679,2567,5968,2854,0.682,0bg,W,,,,,
crop_0018_trinity-2_20250520T160528_Seacliff_DSC01501_conf0.93.jpg,trinity-2_20250520T160528_Seacliff_DSC01501.JPG,490,2221,778,2508,0.928,0bg,W,,,,,
crop_0019_trinity-2_20240621T153337_Seymour_DSC01059_conf0.57.jpg,trinity-2_20240621T153337_Seymour_DSC01059.JPG,3603,4081,3891,4282,0.567,0bg,W,,,,,
crop_0020_trinity-2_20240809T233952_NewBrighton_DSC01705_conf0.50.jpg,trinity-2_20240809T233952_NewBrighton_DSC01705.JPG,3812,4951,3996,5092,0.503,0bg,G,,,,,
crop_0021_trinity-2_20240424T174720_DSC09972_conf0.52.jpg,trinity-2_20240424T174720_DSC09972.JPG,5334,4894,5622,5015,0.516,0bg,W,,,,,
crop_0022_trinity-2_20250521T004432_Seacliff_DSC02210_conf0.77.jpg,trinity-2_20250521T004432_Seacliff_DSC02210.JPG,7410,3605,7698,3892,0.766,0bg,W,,,,,
crop_0023_trinity-2_20240702T162557_Seacliff_DSC01545_conf0.52.jpg,trinity-2_20240702T162557_Seacliff_DSC01545.JPG,4296,4872,4584,5160,0.520,0bg,N,,,,,
crop_0024_trinity-2_20241021T184730_MossLanding_DSC01708_conf0.66.jpg,trinity-2_20241021T184730_MossLanding_DSC01708.JPG,6418,2988,6444,3040,0.656,0bg,Oc,,Bird?,,,
crop_0025_trinity-2_20240820T160209_Seymour_DSC01712_conf0.54.jpg,trinity-2_20240820T160209_Seymour_DSC01712.JPG,506,2236,553,2283,0.545,0bg,B,,B,/mnt/user-data/uploads/20bg (dist=5px),,
crop_0026_trinity-2_20250509T160658_Davenport_DSC01853_conf0.53.jpg,trinity-2_20250509T160658_Davenport_DSC01853.JPG,1744,419,1821,498,0.533,0bg,F,,,,,
crop_0027_trinity-2_20250521T004432_Seacliff_DSC01963_conf0.57.jpg,trinity-2_20250521T004432_Seacliff_DSC01963.JPG,55,491,163,777,0.567,0bg,W,,,,,
crop_0028_trinity-2_20230901T183423_DSC04378_conf0.65.jpg,trinity-2_20230901T183423_DSC04378.JPG,5488,689,5510,714,0.649,0bg,Od,,W,/mnt/user-data/outputs/5bg_manifest_final (dist=0px),,
crop_0029_trinity-2_20240820T233850_NewBrighton_DSC01608_conf0.87.jpg,trinity-2_20240820T233850_NewBrighton_DSC01608.JPG,6150,4112,6259,4292,0.867,0bg,S,,S,/mnt/user-data/outputs/5bg_manifest_final (dist=3px),,
crop_0030_trinity-2_20250520T160528_Seacliff_DSC01651_conf0.66.jpg,trinity-2_20250520T160528_Seacliff_DSC01651.JPG,7063,1099,7352,1213,0.657,0bg,W,,,,,
